User Card 1 , User Card 2, Dealer Card, Choice, Frequency
2 of Hearts , 2 of Clubs , 2 of Spades , 0 , 3646
2 of Hearts , 2 of Clubs , 2 of Spades , 10 , 3736
2 of Hearts , 2 of Clubs , 2 of Spades , 110 , 1626
2 of Hearts , 2 of Clubs , 2 of Spades , 1110 , -11198
2 of Hearts , 2 of Clubs , 3 of Spades , 0 , 8550
2 of Hearts , 2 of Clubs , 3 of Spades , 10 , 8268
2 of Hearts , 2 of Clubs , 3 of Spades , 110 , 3266
2 of Hearts , 2 of Clubs , 3 of Spades , 1110 , -39204
2 of Hearts , 2 of Clubs , 4 of Hearts , 0 , 2702
2 of Hearts , 2 of Clubs , 4 of Hearts , 10 , 2360
2 of Hearts , 2 of Clubs , 4 of Hearts , 110 , -268
2 of Hearts , 2 of Clubs , 4 of Hearts , 1110 , -30236
2 of Hearts , 2 of Clubs , 5 of Hearts , 0 , -970
2 of Hearts , 2 of Clubs , 5 of Hearts , 10 , -742
2 of Hearts , 2 of Clubs , 5 of Hearts , 110 , -1490
2 of Hearts , 2 of Clubs , 5 of Hearts , 1110 , -8350
2 of Hearts , 2 of Clubs , 6 of Hearts , 0 , 1422
2 of Hearts , 2 of Clubs , 6 of Hearts , 10 , 1208
2 of Hearts , 2 of Clubs , 6 of Hearts , 110 , -1544
2 of Hearts , 2 of Clubs , 6 of Hearts , 1110 , -21286
2 of Hearts , 2 of Clubs , 7 of Hearts , 0 , 10726
2 of Hearts , 2 of Clubs , 7 of Hearts , 10 , 10484
2 of Hearts , 2 of Clubs , 7 of Hearts , 110 , 2018
2 of Hearts , 2 of Clubs , 7 of Hearts , 1110 , -35776
2 of Hearts , 2 of Clubs , 8 of Hearts , 0 , 23242
2 of Hearts , 2 of Clubs , 8 of Hearts , 10 , 22642
2 of Hearts , 2 of Clubs , 8 of Hearts , 110 , 9938
2 of Hearts , 2 of Clubs , 8 of Hearts , 1110 , -46762
2 of Hearts , 2 of Clubs , 9 of Hearts , 0 , 25546
2 of Hearts , 2 of Clubs , 9 of Hearts , 10 , 26378
2 of Hearts , 2 of Clubs , 9 of Hearts , 110 , 13264
2 of Hearts , 2 of Clubs , 9 of Hearts , 1110 , -34858
2 of Hearts , 2 of Clubs , 10 of Diamonds , 0 , 109248
2 of Hearts , 2 of Clubs , 10 of Diamonds , 10 , 108832
2 of Hearts , 2 of Clubs , 10 of Diamonds , 110 , 58564
2 of Hearts , 2 of Clubs , 10 of Diamonds , 1110 , -121516
2 of Hearts , 2 of Clubs , A of Clubs , 0 , -6928
2 of Hearts , 2 of Clubs , A of Clubs , 10 , -6828
2 of Hearts , 2 of Clubs , A of Clubs , 110 , -8978
2 of Hearts , 2 of Clubs , A of Clubs , 1110 , -49574
2 of Hearts , 3 of Diamonds , 2 of Clubs , 0 , 2702
2 of Hearts , 3 of Diamonds , 2 of Clubs , 10 , 2504
2 of Hearts , 3 of Diamonds , 2 of Clubs , 110 , 214
2 of Hearts , 3 of Diamonds , 2 of Clubs , 1110 , -8776
2 of Hearts , 3 of Diamonds , 3 of Spades , 0 , 3844
2 of Hearts , 3 of Diamonds , 3 of Spades , 10 , 3986
2 of Hearts , 3 of Diamonds , 3 of Spades , 110 , -814
2 of Hearts , 3 of Diamonds , 3 of Spades , 1110 , -19914
2 of Hearts , 3 of Diamonds , 4 of Hearts , 0 , 2032
2 of Hearts , 3 of Diamonds , 4 of Hearts , 10 , 2178
