User Card 1 , User Card 2, Dealer Card, Choice, Frequency
2 of Diamonds , 2 of Clubs , 2 of Spades , 0 , 142
2 of Diamonds , 2 of Clubs , 2 of Spades , 10 , 106
2 of Diamonds , 2 of Clubs , 2 of Spades , 110 , 34
2 of Diamonds , 2 of Clubs , 2 of Spades , 1110 , -362
2 of Diamonds , 2 of Clubs , 3 of Diamonds , 0 , 134
2 of Diamonds , 2 of Clubs , 3 of Diamonds , 10 , 140
2 of Diamonds , 2 of Clubs , 3 of Diamonds , 110 , 18
2 of Diamonds , 2 of Clubs , 3 of Diamonds , 1110 , -686
2 of Diamonds , 2 of Clubs , 4 of Diamonds , 0 , 130
2 of Diamonds , 2 of Clubs , 4 of Diamonds , 10 , 156
2 of Diamonds , 2 of Clubs , 4 of Diamonds , 110 , 56
2 of Diamonds , 2 of Clubs , 4 of Diamonds , 1110 , -670
2 of Diamonds , 2 of Clubs , 5 of Diamonds , 0 , 132
2 of Diamonds , 2 of Clubs , 5 of Diamonds , 10 , 164
2 of Diamonds , 2 of Clubs , 5 of Diamonds , 110 , 144
2 of Diamonds , 2 of Clubs , 5 of Diamonds , 1110 , -634
2 of Diamonds , 2 of Clubs , 6 of Diamonds , 0 , 98
2 of Diamonds , 2 of Clubs , 6 of Diamonds , 10 , 86
2 of Diamonds , 2 of Clubs , 6 of Diamonds , 110 , -74
2 of Diamonds , 2 of Clubs , 6 of Diamonds , 1110 , -672
2 of Diamonds , 2 of Clubs , 7 of Diamonds , 0 , 180
2 of Diamonds , 2 of Clubs , 7 of Diamonds , 10 , 226
2 of Diamonds , 2 of Clubs , 7 of Diamonds , 110 , 6
2 of Diamonds , 2 of Clubs , 7 of Diamonds , 1110 , -652
2 of Diamonds , 2 of Clubs , 8 of Diamonds , 0 , 298
2 of Diamonds , 2 of Clubs , 8 of Diamonds , 10 , 300
2 of Diamonds , 2 of Clubs , 8 of Diamonds , 110 , 60
2 of Diamonds , 2 of Clubs , 8 of Diamonds , 1110 , -588
2 of Diamonds , 2 of Clubs , 9 of Diamonds , 0 , 462
2 of Diamonds , 2 of Clubs , 9 of Diamonds , 10 , 442
2 of Diamonds , 2 of Clubs , 9 of Diamonds , 110 , 192
2 of Diamonds , 2 of Clubs , 9 of Diamonds , 1110 , -636
2 of Diamonds , 2 of Clubs , 10 of Diamonds , 0 , 2144
2 of Diamonds , 2 of Clubs , 10 of Diamonds , 10 , 2182
2 of Diamonds , 2 of Clubs , 10 of Diamonds , 110 , 1150
2 of Diamonds , 2 of Clubs , 10 of Diamonds , 1110 , -2374
2 of Diamonds , 2 of Clubs , A of Diamonds , 0 , -126
2 of Diamonds , 2 of Clubs , A of Diamonds , 10 , -154
2 of Diamonds , 2 of Clubs , A of Diamonds , 110 , -156
2 of Diamonds , 2 of Clubs , A of Diamonds , 1110 , -720
2 of Diamonds , 3 of Diamonds , 2 of Clubs , 0 , 240
2 of Diamonds , 3 of Diamonds , 2 of Clubs , 10 , 174
2 of Diamonds , 3 of Diamonds , 2 of Clubs , 110 , -78
2 of Diamonds , 3 of Diamonds , 2 of Clubs , 1110 , -1010
2 of Diamonds , 3 of Diamonds , 3 of Clubs , 0 , 164
2 of Diamonds , 3 of Diamonds , 3 of Clubs , 10 , 178
2 of Diamonds , 3 of Diamonds , 3 of Clubs , 110 , -30
2 of Diamonds , 3 of Diamonds , 3 of Clubs , 1110 , -928
2 of Diamonds , 3 of Diamonds , 4 of Diamonds , 0 , 278
2 of Diamonds , 3 of Diamonds , 4 of Diamonds , 10 , 264
2 of Diamonds , 3 of Diamonds , 4 of Diamonds , 110 , -118
2 of Diamonds , 3 of Diamonds , 4 of Diamonds , 1110 , -1334
2 of Diamonds , 3 of Diamonds , 5 of Diamonds , 0 , 220
2 of Diamonds , 3 of Diamonds , 5 of Diamonds , 10 , 334
2 of Diamonds , 3 of Diamonds , 5 of Diamonds , 110 , -28
